Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-09-29,110.29,112.437,109.953,112.11,815719.52605629
2017-10-02,112.486,113.208,111.243,111.869,526435.37237106
2017-10-03,111.725,113.256,111.339,111.629,494407.72499437
2017-10-04,112.341,112.63,109.241,109.241,581618.21335404
2017-10-05,110.242,114.971,110.242,114.971,1381061.1897384
2017-10-06,115.635,116.693,113.112,115.307,861543.92212134
2017-10-09,115.452,116.501,114.016,115.548,526605.67696122
2017-10-10,116.309,116.309,114.354,115.875,354261.58548777
2017-10-11,116.501,117.744,115.635,116.877,771733.17343384
2017-10-12,118.023,118.697,117.31,117.744,608012.30950128
2017-10-13,117.926,118.215,115.355,115.924,502136.85343691
2017-10-16,119.409,121.413,119.121,121.037,1255171.8290021
2017-10-17,120.363,121.605,119.313,120.266,907376.62572738
2017-10-18,120.363,121.413,118.889,120.796,718928.36605739
2017-10-19,120.219,120.7,117.503,118.071,549819.0233544
2017-10-20,119.362,120.035,116.877,116.877,396281.12778237
2017-10-23,116.973,117.695,116.116,116.501,418222.38196245
2017-10-24,117.744,118.456,115.828,116.693,567356.24237059
2017-10-25,115.548,117.166,114.73,115.828,427365.86925743
2017-10-26,115.635,117.454,113.92,115.259,587373.26237036
2017-10-27,112.206,114.73,111.243,114.73,892141.63400624
2017-10-30,115.259,116.501,115.259,116.501,258448.63843968
2017-10-31,116.973,117.84,115.5,117.407,338561.37147156
2017-11-02,117.599,118.552,116.212,117.358,340520.91270104
2017-11-03,117.166,117.358,115.211,117.069,171443.76171936
2017-11-06,117.069,119.746,116.742,119.121,405099.58253637
2017-11-07,118.938,120.132,116.828,116.828,554314.4414691
2017-11-08,116.212,116.781,115.259,115.875,400253.17081512
2017-11-09,115.355,115.548,113.728,115.211,529845.61794479
2017-11-10,115.259,116.357,114.161,114.971,240380.77524317
2017-11-13,115.548,117.118,113.873,116.55,408524.36630683
2017-11-14,116.068,116.742,113.159,113.728,707744.33900834
2017-11-15,111.677,111.821,107.093,107.093,2153950.1498115
2017-11-16,107.709,108.576,105.331,105.707,982056.22695604
2017-11-17,106.756,107.238,105.754,106.948,521205.77532194
2017-11-20,106.901,108.384,105.803,106.948,452096.38032272
2017-11-21,107.43,111.629,107.238,110.29,648380.72802541
2017-11-22,111.147,111.965,108.856,109.096,537875.89474798
2017-11-23,108.721,108.768,107.093,107.623,425197.60106073
2017-11-24,108.384,109.625,108.191,108.625,533647.35638737
2017-11-27,107.709,107.709,106.38,107.141,464696.84310946
2017-11-28,106.611,106.611,103.087,104.897,1221280.1771172
2017-11-29,105.042,105.042,101.508,102.557,991026.29433298
2017-11-30,102.173,103.414,100.555,101.98,1457563.2577703
2017-12-01,102.173,103.607,101.797,103.607,1490842.2285076
2017-12-04,104.271,104.512,102.22,102.702,520503.78810883
2017-12-05,100.265,100.651,97.6366,98.4551,1149568.4449049
2017-12-06,97.3092,98.927,95.8262,96.6351,980206.76064458
2017-12-07,96.5869,98.1663,95.2522,95.4911,834712.64162984
2017-12-08,97.4055,98.8788,96.9721,97.781,685740.77827088
2017-12-11,97.781,98.5033,96.9721,98.3107,543260.21974791
2017-12-12,98.3588,98.8307,96.6351,97.9255,581304.60368191
2017-12-13,97.4922,99.312,97.1166,98.6862,942178.99179255
2017-12-14,98.927,100.602,98.4551,99.3606,1035305.4877751
2017-12-15,99.6006,100.459,98.6862,99.2158,1532173.2833432
2017-12-18,101.7,103.607,100.93,103.607,1004582.1243328
2017-12-19,102.991,103.944,102.124,102.173,648468.99564836
2017-12-20,102.798,105.658,102.798,104.946,817576.2614661
2017-12-21,105.234,106.477,104.089,105.754,599583.27073088
2017-12-22,105.707,105.995,104.271,104.32,264596.21876748
2017-12-27,106.901,107.623,106.044,106.66,679355.39458243
2017-12-28,107.854,107.998,106.852,107.758,610427.72704223
2017-12-29,106.948,107.902,106.188,106.188,464792.37983078
2018-01-03,106.38,106.66,101.845,104.464,642097.111714
2018-01-04,106.236,108.287,105.283,107.998,671939.87581202
2018-01-05,107.902,108.095,106.852,107.623,387780.436471
2018-01-08,108.095,108.576,106.332,106.756,482855.05081418
2018-01-09,107.805,108.384,106.66,107.189,655331.02450074
2018-01-10,106.948,108.721,106.756,108.721,635895.53236981
2018-01-11,108.672,110.049,107.998,109.144,544811.65302659
2018-01-12,109.818,110.242,108.287,108.807,464786.14917504
2018-01-15,110.29,110.723,108.856,109.818,304818.21688178
2018-01-16,108.672,109.77,107.045,108.721,724168.34753274
2018-01-17,108.721,109.77,107.709,107.902,524296.1805678
2018-01-18,108.335,108.856,107.238,107.238,436419.01204421
2018-01-19,108.48,108.576,106.997,107.623,456659.29720792
2018-01-22,107.43,109.096,107.43,108.672,369284.73491383
2018-01-23,108.856,109.578,106.515,107.238,898797.01277666
2018-01-24,107.382,107.902,105.283,107.854,447543.84786376
2018-01-25,108.287,108.384,107.141,107.286,503162.83474837
2018-01-26,107.478,107.805,106.188,107.382,167551.67876858
2018-01-29,107.623,108.239,107.334,108.239,248440.1284398
2018-01-30,106.948,107.574,106.091,106.611,312025.00868497
2018-01-31,106.997,107.43,105.09,105.09,587381.56991135
2018-02-01,105.514,106.948,103.655,106.477,402162.8667987
2018-02-02,106.66,107.093,102.75,103.607,459601.2051587
2018-02-05,102.557,104.657,101.98,103.896,512360.32105974
2018-02-06,99.312,104.512,98.5418,102.606,934969.08466149
2018-02-07,103.318,103.752,100.073,100.978,588476.08843592
2018-02-08,100.555,100.882,99.0714,99.0714,763429.78622082
2018-02-09,98.4551,98.7825,96.4907,97.6366,843618.32556417
2018-02-12,99.8803,100.555,99.3606,99.6492,476515.35860113
2018-02-13,101.122,102.173,100.025,102.076,528462.41237103
2018-02-14,102.51,105.899,101.98,105.514,627051.11655024
2018-02-15,106.188,107.902,104.85,104.85,672034.37409071
2018-02-16,106.901,107.43,104.368,105.042,485450.1189289
2018-02-19,105.042,105.658,102.461,102.654,288738.97130819
2018-02-20,102.557,103.944,101.797,103.944,308064.38852108
2018-02-21,102.75,105.514,102.702,105.514,499728.70499431
2018-02-22,103.703,105.234,102.75,104.368,533399.16860049
2018-02-23,104.416,104.993,102.798,103.087,329827.03057002
2018-02-26,104.512,105.466,103.703,103.703,430744.96155247
2018-02-27,104.897,104.897,102.269,102.895,652232.31171389
2018-02-28,102.461,103.222,100.121,100.265,776151.74679444
2018-03-01,100.265,100.747,96.7795,98.1663,1104205.1173645
2018-03-02,96.9239,98.8307,96.8277,97.8773,501505.48032216
2018-03-05,97.781,99.312,97.6366,98.927,278032.62786569
2018-03-06,99.6879,101.893,99.2158,101.412,573819.50925576
2018-03-07,101.026,101.363,98.4551,99.1195,871236.74556385
2018-03-08,99.0233,99.0714,96.8758,97.781,594911.31737028
2018-03-09,97.4922,99.312,97.4922,99.312,430180.0487656
2018-03-12,98.3588,99.3606,96.7314,97.9255,558745.47614118
2018-03-13,97.8292,99.2644,97.6847,98.0217,361212.92040572
2018-03-14,98.3588,99.6879,98.3588,98.8307,474937.96425689
2018-03-15,99.312,99.312,96.6351,98.1181,600222.95138661
2018-03-16,98.2144,99.4568,96.1151,96.5869,1414439.8509675
2018-03-19,96.8277,96.8277,90.8119,90.8688,1103794.9325284
2018-03-20,90.7166,90.7359,86.9735,89.017,1363272.6676074
2018-03-21,88.9024,90.6021,87.0303,90.3536,890263.09130134
2018-03-22,90.6781,91.1933,87.2027,87.7564,795859.31089258
2018-03-23,86.8964,87.3173,85.14,86.8589,659525.29425479
2018-03-26,85.9422,85.9422,82.2366,83.0195,951285.09515311
2018-03-27,84.6046,85.7129,82.8856,82.8856,739937.09876207
2018-03-28,82.0652,82.0652,78.532,80.4031,1467827.2246554
2018-03-29,81.1677,84.204,80.8807,82.905,989226.67326743
2018-04-03,83.1341,84.0316,81.3583,84.0316,432464.62253606
2018-04-04,84.3378,84.49,82.198,83.7071,716376.91253283
2018-04-05,84.9869,87.3741,84.8916,86.1714,815751.7177776
2018-04-06,85.8276,87.0303,85.0437,85.8084,418822.60179851
